Model_Name,Adj_R_Square,Mean_Absolute_Error_MAE,Root_Mean_Squared_Error_RMSE,Mean_Absolute_Percentage_Error_MAPE,Mean_Squared_Error_MSE,Root_Mean_Squared_Log_Error_RMSLE,R2_score
ExtraTreesRegressor,0.969597,1839.1297510099773,3955.486783777354,11.247267825059883,15645875.696637316,8.28285895322906,0.9695999727121398
KNeighborsRegressor,0.969302,1961.0423139284364,3974.605878935375,11.887341530918928,15797491.892867645,8.287680872219386,0.9693053815628778
RandomForestRegressor,0.964554,2038.6195255065402,4270.937919564951,12.263003317624372,18240910.712777793,8.359588735396317,0.964557804614091
XGBRegressor,0.963229,2477.504518109716,4350.009652610563,16.78623371313638,18922583.977805067,8.377933343071202,0.9632332921028137
BaggingRegressor,0.961129,2121.2175545475175,4472.551159664893,12.663098858189354,20003713.87581978,8.405714254035148,0.9611326678369198
GradientBoostingRegressor,0.95145,2989.7431521924486,4998.444180535317,21.536811905831403,24984444.225927375,8.516881979101772,0.9514550798583008
DecisionTreeRegressor,0.946119,2293.2979847337288,5265.747067621233,13.626721592035507,27728092.18016162,8.56897830768761,0.9461241559589801
Lasso Regression,0.904628,4633.058300641945,7005.698273574974,43.979298339219206,49079808.30037137,8.854479135969477,0.9046376476111908
LinearRegression,0.904627,4633.175509272619,7005.707692626822,43.9824238715621,49079940.274530634,8.854480480452946,0.9046373911846334
Ridge Regression,0.904627,4633.196900458953,7005.704302162867,43.98274571880187,49079892.7693433,8.854479996495446,0.9046374834874881
